"labels","block01","filler01","check01","block02","filler02","check02","block03","filler03","check03","block04","filler04","check04","block05","filler05","check05","block06","filler06","check06","block07","filler07","check07","block08","filler08","check08"
"filleritem4","poniente","poniente","CV","largueza","largueza","CVC","mordiso","mordiso","CVC","cortupto","cortupto","CVC","sordera","sordera","CVC","rorencio","rorencio","CV","dabtura","dabtura","CVC","ropero","ropero","CV"
"filleritem5","concepto","concepto","CVC","rabillo","rabillo","CV","vangurdo","vangurdo","CVC","tolina","tolina","CV","rasguño","rasguño","CVC","tusvuja","tusvuja","CVC","tencrido","tencrido","CVC","forraje","forraje","CVC"
"filleritem6","reguero","reguero","CV","regato","regato","CV","tocida","tocida","CV","simona","simona","CV","cizalla","cizalla","CV","vantema","vantema","CVC","dezida","dezida","CV","ramaje","ramaje","CV"
"filleritem7","noviazgo","noviazgo","CV","ternera","ternera","CVC","tenvila","tenvila","CVC","jagito","jagito","CV","pocilga","pocilga","CV","vinsosta","vinsosta","CVC","fensuace","fensuace","CVC","batuta","batuta","CV"
"filleritem8","donaire","donaire","CV","pureza","pureza","CV","devillo","devillo","CV","foscillo","foscillo","CVC","cigoto","cigoto","CV","nocena","nocena","CV","galgango","galgango","CVC","vaquilla","vaquilla","CV"
"filleritem9","recodo","recodo","CV","percance","percance","CVC","rofiolo","rofiolo","CV","tosaba","tosaba","CV","cornisa","cornisa","CVC","ricobo","ricobo","CV","binima","binima","CV","sufragio","sufragio","CVC"
"Checks_Balances","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0"
"","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check",""
"practiceListC","practiceListC0","","","practiceListC1","","","practiceListC2","","","practiceListC3","","","practiceListC4","","","practiceListC5","","","practiceListC6","","","practiceListC7","",""
"listLabel","RealP2","","","RealP4","","","PseudoP2","","","PseudoP3","","","RealP3","","","PseudoP1","","","PseudoP4","","","RealP1","",""
"targetSyl","sil","","","co","","","si","","","ve","","","ven","","","del","","","cos","","","de","",""
"carrierItem","silicio","silicio","CV","costumbre","costumbre","CVC","siledio","siledio","CV","ventemia","ventemia","CVC","vendimia","vendimia","CVC","deletio","deletio","CV","cosdombre","cosdombre","CVC","delirio","delirio","CV"
"filleritem1","bacteria","bacteria","CVC","ranura","ranura","CV","nencida","nencida","CVC","parvaza","parvaza","CVC","piropo","piropo","CV","porvama","porvama","CVC","navura","navura","CV","burrada","burrada","CVC"
"filleritem2","confianza","confianza","CVC","rivera","rivera","CV","farime","farime","CV","rodaso","rodaso","CV","sarcasmo","sarcasmo","CVC","bascana","bascana","CVC","remivio","remivio","CV","tungsteno","tungsteno","CVC"
"filleritem3","congreso","congreso","CVC","vergüenza","vergüenza","CVC","bonjeta","bonjeta","CVC","sutnido","sutnido","CVC","gozada","gozada","CV","gaferdo","gaferdo","CV","vavipo","vavipo","CV","varilla","varilla","CV"
"filleritem4","verruga","verruga","CVC","largueza","largueza","CVC","mordiso","mordiso","CVC","cortupto","cortupto","CVC","sordera","sordera","CVC","rorencio","rorencio","CV","dabtura","dabtura","CVC","ropero","ropero","CV"
"filleritem5","concepto","concepto","CVC","rabillo","rabillo","CV","vangurdo","vangurdo","CVC","tolina","tolina","CV","rasguño","rasguño","CVC","tusvuja","tusvuja","CVC","tencrido","tencrido","CVC","forraje","forraje","CVC"
"filleritem6","reguero","reguero","CV","regato","regato","CV","tocida","tocida","CV","simona","simona","CV","cizalla","cizalla","CV","vantema","vantema","CVC","dezida","dezida","CV","ramaje","ramaje","CV"
"filleritem7","noviazgo","noviazgo","CV","ternera","ternera","CVC","tenvila","tenvila","CVC","jagito","jagito","CV","pocilga","pocilga","CV","vinsosta","vinsosta","CVC","fensuace","fensuace","CVC","batuta","batuta","CV"
"filleritem8","donaire","donaire","CV","pureza","pureza","CV","devillo","devillo","CV","foscillo","foscillo","CVC","cigoto","cigoto","CV","nocena","nocena","CV","galgango","galgango","CVC","turbante","turbante","CVC"
"filleritem9","recodo","recodo","CV","percance","percance","CVC","rofiolo","rofiolo","CV","tosaba","tosaba","CV","cornisa","cornisa","CVC","ricobo","ricobo","CV","binima","binima","CV","sufragio","sufragio","CVC"
"Checks_Balances","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0"
"","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check",""
"practiceListD","practiceListD0","","","practiceListD1","","","practiceListD2","","","practiceListD3","","","practiceListD4","","","practiceListD5","","","practiceListD6","","","practiceListD7","",""
"listLabel","RealP2","","","RealP4","","","PseudoP2","","","PseudoP3","","","RealP3","","","PseudoP1","","","PseudoP4","","","RealP1","",""
"targetSyl","si","","","cos","","","sil","","","ven","","","ve","","","de","","","co","","","del","",""
"carrierItem","silicio","silicio","CV","costumbre","costumbre","CVC","siledio","siledio","CV","ventemia","ventemia","CVC","vendimia","vendimia","CVC","deletio","deletio","CV","cosdombre","cosdombre","CVC","delirio","delirio","CV"
"filleritem1","bacteria","bacteria","CVC","ranura","ranura","CV","nencida","nencida","CVC","parvaza","parvaza","CVC","piropo","piropo","CV","porvama","porvama","CVC","navura","navura","CV","burrada","burrada","CVC"
"filleritem2","confianza","confianza","CVC","rivera","rivera","CV","farime","farime","CV","rodaso","rodaso","CV","sarcasmo","sarcasmo","CVC","bascana","bascana","CVC","remivio","remivio","CV","tungsteno","tungsteno","CVC"
"filleritem3","congreso","congreso","CVC","vergüenza","vergüenza","CVC","bonjeta","bonjeta","CVC","sutnido","sutnido","CVC","gozada","gozada","CV","gaferdo","gaferdo","CV","vavipo","vavipo","CV","varilla","varilla","CV"
"filleritem4","verruga","verruga","CVC","largueza","largueza","CVC","mordiso","mordiso","CVC","cortupto","cortupto","CVC","sordera","sordera","CVC","rorencio","rorencio","CV","dabtura","dabtura","CVC","ropero","ropero","CV"
"filleritem5","concepto","concepto","CVC","rabillo","rabillo","CV","vangurdo","vangurdo","CVC","tolina","tolina","CV","rasguño","rasguño","CVC","tusvuja","tusvuja","CVC","tencrido","tencrido","CVC","forraje","forraje","CVC"
"filleritem6","reguero","reguero","CV","regato","regato","CV","tocida","tocida","CV","simona","simona","CV","cizalla","cizalla","CV","vantema","vantema","CVC","dezida","dezida","CV","ramaje","ramaje","CV"
"filleritem7","noviazgo","noviazgo","CV","ternera","ternera","CVC","tenvila","tenvila","CVC","jagito","jagito","CV","pocilga","pocilga","CV","vinsosta","vinsosta","CVC","fensuace","fensuace","CVC","batuta","batuta","CV"
"filleritem8","donaire","donaire","CV","pureza","pureza","CV","devillo","devillo","CV","foscillo","foscillo","CVC","cigoto","cigoto","CV","nocena","nocena","CV","galgango","galgango","CVC","turbante","turbante","CVC"
"filleritem9","recodo","recodo","CV","percance","percance","CVC","rofiolo","rofiolo","CV","tosaba","tosaba","CV","cornisa","cornisa","CVC","ricobo","ricobo","CV","binima","binima","CV","sufragio","sufragio","CVC"
"Checks_Balances","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0","ready","CV word count","5.0"
"","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check","","ready","CV seq check",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Number of Errors","0.0","","","","","","","","","","","","","","","","","","","","","","",""
